GPU;Threads;ElemSize;Time
NVIDIA A40;1;8196;9.77706
NVIDIA A40;2;8196;9.56621
NVIDIA A40;4;8196;9.47814
NVIDIA A40;8;8196;9.35834
NVIDIA A40;16;8196;9.30714
NVIDIA A40;32;8196;9.29587
NVIDIA A40;64;8196;9.29894
NVIDIA A40;128;8196;9.22726
NVIDIA A40;256;8196;8.99789
NVIDIA A40;512;8196;9.30304
NVIDIA A40;1024;8196;10.3301
NVIDIA A40;2048;8196;11.1974
NVIDIA A40;3072;8196;11.5169
NVIDIA A40;4096;8196;11.8866
NVIDIA A40;5120;8196;12.2593
NVIDIA A40;6144;8196;12.715
NVIDIA A40;7168;8196;13.1656
NVIDIA A40;8192;8196;13.609
NVIDIA A40;9216;8196;14.124
NVIDIA A40;10240;8196;14.6821
NVIDIA A40;11264;8196;15.2637
NVIDIA A40;12288;8196;15.7338
NVIDIA A40;13312;8196;16.4772
NVIDIA A40;14336;8196;16.8765
NVIDIA A40;15360;8196;17.3394
NVIDIA A40;16384;8196;17.9589
NVIDIA A40;17408;8196;18.5293
NVIDIA A40;18432;8196;19.0136
NVIDIA A40;19456;8196;19.6782
NVIDIA A40;20480;8196;20.1912
NVIDIA A40;21504;8196;21.0442
