GPU;Threads;ElemSize;Time
NVIDIA A40;1;8196;8.26982
NVIDIA A40;2;8196;8.05683
NVIDIA A40;4;8196;7.95443
NVIDIA A40;8;8196;7.82131
NVIDIA A40;16;8196;6.75533
NVIDIA A40;32;8196;6.73485
NVIDIA A40;64;8196;7.78854
NVIDIA A40;128;8196;6.7369
NVIDIA A40;256;8196;6.76147
NVIDIA A40;512;8196;8.29235
NVIDIA A40;1024;8196;8.83712
NVIDIA A40;2048;8196;8.14797
NVIDIA A40;3072;8196;8.3456
NVIDIA A40;4096;8196;8.51456
NVIDIA A40;5120;8196;8.75213
NVIDIA A40;6144;8196;9.09309
NVIDIA A40;7168;8196;9.34298
NVIDIA A40;8192;8196;9.65734
NVIDIA A40;9216;8196;9.98298
NVIDIA A40;10240;8196;10.3383
NVIDIA A40;11264;8196;10.7571
NVIDIA A40;12288;8196;11.0797
NVIDIA A40;13312;8196;11.6562
NVIDIA A40;14336;8196;12.0033
NVIDIA A40;15360;8196;12.4549
NVIDIA A40;16384;8196;12.585
NVIDIA A40;17408;8196;12.9485
NVIDIA A40;18432;8196;13.438
NVIDIA A40;19456;8196;13.9561
NVIDIA A40;20480;8196;14.3677
NVIDIA A40;21504;8196;14.7384
