GPU;Threads;ElemSize;Time
NVIDIA A100-PCIE-40GB;1;8;0.099328
NVIDIA A100-PCIE-40GB;2;8;0.088064
NVIDIA A100-PCIE-40GB;4;8;0.095232
NVIDIA A100-PCIE-40GB;8;8;0.104448
NVIDIA A100-PCIE-40GB;16;8;0.128
NVIDIA A100-PCIE-40GB;32;8;0.130048
NVIDIA A100-PCIE-40GB;64;8;0.132096
NVIDIA A100-PCIE-40GB;128;8;0.131072
NVIDIA A100-PCIE-40GB;256;8;0.14336
NVIDIA A100-PCIE-40GB;512;8;0.150528
NVIDIA A100-PCIE-40GB;1024;8;0.1536
NVIDIA A100-PCIE-40GB;2048;8;0.1536
NVIDIA A100-PCIE-40GB;3072;8;0.164864
NVIDIA A100-PCIE-40GB;4096;8;0.164864
NVIDIA A100-PCIE-40GB;5120;8;0.195584
NVIDIA A100-PCIE-40GB;6144;8;0.182272
NVIDIA A100-PCIE-40GB;7168;8;0.197632
NVIDIA A100-PCIE-40GB;8192;8;0.246784
NVIDIA A100-PCIE-40GB;9216;8;0.243712
NVIDIA A100-PCIE-40GB;10240;8;0.323584
NVIDIA A100-PCIE-40GB;11264;8;0.403456
NVIDIA A100-PCIE-40GB;12288;8;0.483328
NVIDIA A100-PCIE-40GB;13312;8;0.51712
NVIDIA A100-PCIE-40GB;14336;8;0.551936
NVIDIA A100-PCIE-40GB;15360;8;0.698368
NVIDIA A100-PCIE-40GB;16384;8;0.635904
NVIDIA A100-PCIE-40GB;17408;8;0.616448
NVIDIA A100-PCIE-40GB;18432;8;0.687104
NVIDIA A100-PCIE-40GB;19456;8;0.69632
NVIDIA A100-PCIE-40GB;20480;8;0.772096
NVIDIA A100-PCIE-40GB;21504;8;0.790528
NVIDIA A100-PCIE-40GB;22528;8;0.828416
NVIDIA A100-PCIE-40GB;23552;8;0.913408
NVIDIA A100-PCIE-40GB;24576;8;0.92672
NVIDIA A100-PCIE-40GB;25600;8;0.91136
NVIDIA A100-PCIE-40GB;26624;8;1.01683
NVIDIA A100-PCIE-40GB;27648;8;1.01786
NVIDIA A100-PCIE-40GB;28672;8;1.0025
NVIDIA A100-PCIE-40GB;29696;8;1.05574
NVIDIA A100-PCIE-40GB;30720;8;1.05779
NVIDIA A100-PCIE-40GB;31744;8;1.04858
NVIDIA A100-PCIE-40GB;32768;8;1.04243
NVIDIA A100-PCIE-40GB;33792;8;1.07418
NVIDIA A100-PCIE-40GB;34816;8;1.02195
NVIDIA A100-PCIE-40GB;35840;8;1.06906
NVIDIA A100-PCIE-40GB;36864;8;1.14381
NVIDIA A100-PCIE-40GB;37888;8;1.11923
NVIDIA A100-PCIE-40GB;38912;8;1.21651
NVIDIA A100-PCIE-40GB;39936;8;1.22778
NVIDIA A100-PCIE-40GB;40960;8;1.30048
NVIDIA A100-PCIE-40GB;41984;8;1.38035
NVIDIA A100-PCIE-40GB;43008;8;1.34861
NVIDIA A100-PCIE-40GB;44032;8;1.49504
NVIDIA A100-PCIE-40GB;45056;8;1.46125
NVIDIA A100-PCIE-40GB;46080;8;1.54829
NVIDIA A100-PCIE-40GB;47104;8;1.53805
NVIDIA A100-PCIE-40GB;48128;8;1.77562
NVIDIA A100-PCIE-40GB;49152;8;1.85651
NVIDIA A100-PCIE-40GB;50176;8;1.68858
NVIDIA A100-PCIE-40GB;51200;8;1.81862
NVIDIA A100-PCIE-40GB;52224;8;1.79507
NVIDIA A100-PCIE-40GB;53248;8;1.88928
NVIDIA A100-PCIE-40GB;54272;8;1.90157
NVIDIA A100-PCIE-40GB;55296;8;2.05107
NVIDIA A100-PCIE-40GB;56320;8;2.05619
NVIDIA A100-PCIE-40GB;57344;8;2.00806
NVIDIA A100-PCIE-40GB;58368;8;2.05619
NVIDIA A100-PCIE-40GB;59392;8;2.13914
NVIDIA A100-PCIE-40GB;60416;8;2.08077
NVIDIA A100-PCIE-40GB;61440;8;2.07258
NVIDIA A100-PCIE-40GB;62464;8;2.08486
NVIDIA A100-PCIE-40GB;63488;8;2.02854
NVIDIA A100-PCIE-40GB;64512;8;2.02854
NVIDIA A100-PCIE-40GB;65536;8;2.18112
NVIDIA A100-PCIE-40GB;66560;8;2.17702
NVIDIA A100-PCIE-40GB;67584;8;2.1207
NVIDIA A100-PCIE-40GB;68608;8;2.20774
NVIDIA A100-PCIE-40GB;69632;8;2.20262
NVIDIA A100-PCIE-40GB;70656;8;2.24358
NVIDIA A100-PCIE-40GB;71680;8;2.19341
NVIDIA A100-PCIE-40GB;72704;8;2.19238
NVIDIA A100-PCIE-40GB;73728;8;2.26714
NVIDIA A100-PCIE-40GB;74752;8;2.22515
NVIDIA A100-PCIE-40GB;75776;8;2.27942
NVIDIA A100-PCIE-40GB;76800;8;2.3552
NVIDIA A100-PCIE-40GB;77824;8;2.49344
NVIDIA A100-PCIE-40GB;78848;8;2.4832
NVIDIA A100-PCIE-40GB;79872;8;2.39514
NVIDIA A100-PCIE-40GB;80896;8;2.47706
NVIDIA A100-PCIE-40GB;81920;8;2.54669
NVIDIA A100-PCIE-40GB;82944;8;2.38899
NVIDIA A100-PCIE-40GB;83968;8;2.59686
NVIDIA A100-PCIE-40GB;84992;8;2.51187
NVIDIA A100-PCIE-40GB;86016;8;2.54157
NVIDIA A100-PCIE-40GB;87040;8;2.60915
NVIDIA A100-PCIE-40GB;88064;8;2.43098
NVIDIA A100-PCIE-40GB;89088;8;2.55898
NVIDIA A100-PCIE-40GB;90112;8;2.7136
NVIDIA A100-PCIE-40GB;91136;8;2.75456
NVIDIA A100-PCIE-40GB;92160;8;2.75046
NVIDIA A100-PCIE-40GB;93184;8;2.73613
NVIDIA A100-PCIE-40GB;94208;8;2.84877
NVIDIA A100-PCIE-40GB;95232;8;2.97267
NVIDIA A100-PCIE-40GB;96256;8;2.89894
NVIDIA A100-PCIE-40GB;97280;8;2.8672
NVIDIA A100-PCIE-40GB;98304;8;2.816
NVIDIA A100-PCIE-40GB;99328;8;3.00646
