GPU;Threads;ElemSize;Time
NVIDIA A100-PCIE-40GB;1;4;0.099328
NVIDIA A100-PCIE-40GB;2;4;0.084992
NVIDIA A100-PCIE-40GB;4;4;0.094208
NVIDIA A100-PCIE-40GB;8;4;0.099328
NVIDIA A100-PCIE-40GB;16;4;0.119808
NVIDIA A100-PCIE-40GB;32;4;0.118784
NVIDIA A100-PCIE-40GB;64;4;0.121856
NVIDIA A100-PCIE-40GB;128;4;0.123904
NVIDIA A100-PCIE-40GB;256;4;0.131072
NVIDIA A100-PCIE-40GB;512;4;0.1792
NVIDIA A100-PCIE-40GB;1024;4;0.176128
NVIDIA A100-PCIE-40GB;2048;4;0.177152
NVIDIA A100-PCIE-40GB;3072;4;0.187392
NVIDIA A100-PCIE-40GB;4096;4;0.195584
NVIDIA A100-PCIE-40GB;5120;4;0.203776
NVIDIA A100-PCIE-40GB;6144;4;0.233472
NVIDIA A100-PCIE-40GB;7168;4;0.275456
NVIDIA A100-PCIE-40GB;8192;4;0.359424
NVIDIA A100-PCIE-40GB;9216;4;0.285696
NVIDIA A100-PCIE-40GB;10240;4;0.540672
NVIDIA A100-PCIE-40GB;11264;4;0.612352
NVIDIA A100-PCIE-40GB;12288;4;0.704512
NVIDIA A100-PCIE-40GB;13312;4;0.681984
NVIDIA A100-PCIE-40GB;14336;4;0.811008
NVIDIA A100-PCIE-40GB;15360;4;0.946176
NVIDIA A100-PCIE-40GB;16384;4;0.923648
NVIDIA A100-PCIE-40GB;17408;4;1.01683
NVIDIA A100-PCIE-40GB;18432;4;1.03219
NVIDIA A100-PCIE-40GB;19456;4;0.946176
NVIDIA A100-PCIE-40GB;20480;4;1.02298
NVIDIA A100-PCIE-40GB;21504;4;1.03936
NVIDIA A100-PCIE-40GB;22528;4;1.12026
NVIDIA A100-PCIE-40GB;23552;4;1.25952
NVIDIA A100-PCIE-40GB;24576;4;1.17453
NVIDIA A100-PCIE-40GB;25600;4;1.29843
NVIDIA A100-PCIE-40GB;26624;4;1.20525
NVIDIA A100-PCIE-40GB;27648;4;1.32198
NVIDIA A100-PCIE-40GB;28672;4;1.25235
NVIDIA A100-PCIE-40GB;29696;4;1.36294
NVIDIA A100-PCIE-40GB;30720;4;1.31891
NVIDIA A100-PCIE-40GB;31744;4;1.39878
NVIDIA A100-PCIE-40GB;32768;4;1.47866
NVIDIA A100-PCIE-40GB;33792;4;1.61382
NVIDIA A100-PCIE-40GB;34816;4;1.39264
NVIDIA A100-PCIE-40GB;35840;4;1.51142
NVIDIA A100-PCIE-40GB;36864;4;1.56262
NVIDIA A100-PCIE-40GB;37888;4;1.75002
NVIDIA A100-PCIE-40GB;38912;4;1.73466
NVIDIA A100-PCIE-40GB;39936;4;1.71827
NVIDIA A100-PCIE-40GB;40960;4;1.90054
NVIDIA A100-PCIE-40GB;41984;4;1.72237
NVIDIA A100-PCIE-40GB;43008;4;1.69984
NVIDIA A100-PCIE-40GB;44032;4;1.96608
NVIDIA A100-PCIE-40GB;45056;4;1.98861
NVIDIA A100-PCIE-40GB;46080;4;1.99987
NVIDIA A100-PCIE-40GB;47104;4;2.02547
NVIDIA A100-PCIE-40GB;48128;4;2.20467
NVIDIA A100-PCIE-40GB;49152;4;2.23949
NVIDIA A100-PCIE-40GB;50176;4;2.2743
NVIDIA A100-PCIE-40GB;51200;4;2.43405
NVIDIA A100-PCIE-40GB;52224;4;2.53645
NVIDIA A100-PCIE-40GB;53248;4;2.54976
NVIDIA A100-PCIE-40GB;54272;4;2.51392
NVIDIA A100-PCIE-40GB;55296;4;2.5897
NVIDIA A100-PCIE-40GB;56320;4;2.78733
NVIDIA A100-PCIE-40GB;57344;4;2.8887
NVIDIA A100-PCIE-40GB;58368;4;2.85798
NVIDIA A100-PCIE-40GB;59392;4;2.8201
NVIDIA A100-PCIE-40GB;60416;4;2.98906
NVIDIA A100-PCIE-40GB;61440;4;2.99418
NVIDIA A100-PCIE-40GB;62464;4;3.08634
NVIDIA A100-PCIE-40GB;63488;4;3.14573
NVIDIA A100-PCIE-40GB;64512;4;3.456
NVIDIA A100-PCIE-40GB;65536;4;3.38022
NVIDIA A100-PCIE-40GB;66560;4;3.6393
NVIDIA A100-PCIE-40GB;67584;4;3.56966
NVIDIA A100-PCIE-40GB;68608;4;3.48672
NVIDIA A100-PCIE-40GB;69632;4;3.6137
NVIDIA A100-PCIE-40GB;70656;4;3.73555
NVIDIA A100-PCIE-40GB;71680;4;3.61984
NVIDIA A100-PCIE-40GB;72704;4;3.36077
NVIDIA A100-PCIE-40GB;73728;4;3.5881
NVIDIA A100-PCIE-40GB;74752;4;3.52973
NVIDIA A100-PCIE-40GB;75776;4;3.59526
NVIDIA A100-PCIE-40GB;76800;4;3.50925
NVIDIA A100-PCIE-40GB;77824;4;3.51232
NVIDIA A100-PCIE-40GB;78848;4;3.57376
