GPU;Threads;ElemSize;Time
NVIDIA A100-PCIE-40GB;1;4;0.09216
NVIDIA A100-PCIE-40GB;2;4;0.08192
NVIDIA A100-PCIE-40GB;4;4;0.089088
NVIDIA A100-PCIE-40GB;8;4;0.095232
NVIDIA A100-PCIE-40GB;16;4;0.114688
NVIDIA A100-PCIE-40GB;32;4;0.113664
NVIDIA A100-PCIE-40GB;64;4;0.118784
NVIDIA A100-PCIE-40GB;128;4;0.118784
NVIDIA A100-PCIE-40GB;256;4;0.125952
NVIDIA A100-PCIE-40GB;512;4;0.16896
NVIDIA A100-PCIE-40GB;1024;4;0.175104
NVIDIA A100-PCIE-40GB;2048;4;0.176128
NVIDIA A100-PCIE-40GB;3072;4;0.177152
NVIDIA A100-PCIE-40GB;4096;4;0.182272
NVIDIA A100-PCIE-40GB;5120;4;0.185344
NVIDIA A100-PCIE-40GB;6144;4;0.186368
NVIDIA A100-PCIE-40GB;7168;4;0.192512
NVIDIA A100-PCIE-40GB;8192;4;0.196608
NVIDIA A100-PCIE-40GB;9216;4;0.202752
NVIDIA A100-PCIE-40GB;10240;4;0.19968
NVIDIA A100-PCIE-40GB;11264;4;0.207872
NVIDIA A100-PCIE-40GB;12288;4;0.218112
NVIDIA A100-PCIE-40GB;13312;4;0.228352
NVIDIA A100-PCIE-40GB;14336;4;0.237568
NVIDIA A100-PCIE-40GB;15360;4;0.254976
NVIDIA A100-PCIE-40GB;16384;4;0.264192
NVIDIA A100-PCIE-40GB;17408;4;0.2816
NVIDIA A100-PCIE-40GB;18432;4;0.293888
NVIDIA A100-PCIE-40GB;19456;4;0.306176
NVIDIA A100-PCIE-40GB;20480;4;0.325632
NVIDIA A100-PCIE-40GB;21504;4;0.342016
NVIDIA A100-PCIE-40GB;22528;4;0.355328
NVIDIA A100-PCIE-40GB;23552;4;0.377856
NVIDIA A100-PCIE-40GB;24576;4;0.413696
NVIDIA A100-PCIE-40GB;25600;4;0.42496
NVIDIA A100-PCIE-40GB;26624;4;0.4096
NVIDIA A100-PCIE-40GB;27648;4;0.420864
NVIDIA A100-PCIE-40GB;28672;4;0.431104
NVIDIA A100-PCIE-40GB;29696;4;0.449536
NVIDIA A100-PCIE-40GB;30720;4;0.457728
NVIDIA A100-PCIE-40GB;31744;4;0.472064
NVIDIA A100-PCIE-40GB;32768;4;0.489472
NVIDIA A100-PCIE-40GB;33792;4;0.508928
NVIDIA A100-PCIE-40GB;34816;4;0.54272
NVIDIA A100-PCIE-40GB;35840;4;0.566272
NVIDIA A100-PCIE-40GB;36864;4;0.577536
NVIDIA A100-PCIE-40GB;37888;4;0.612352
NVIDIA A100-PCIE-40GB;38912;4;0.61952
NVIDIA A100-PCIE-40GB;39936;4;0.628736
NVIDIA A100-PCIE-40GB;40960;4;0.638976
NVIDIA A100-PCIE-40GB;41984;4;0.61952
NVIDIA A100-PCIE-40GB;43008;4;0.622592
NVIDIA A100-PCIE-40GB;44032;4;0.638976
NVIDIA A100-PCIE-40GB;45056;4;0.635904
NVIDIA A100-PCIE-40GB;46080;4;0.654336
NVIDIA A100-PCIE-40GB;47104;4;0.669696
NVIDIA A100-PCIE-40GB;48128;4;0.664576
NVIDIA A100-PCIE-40GB;49152;4;0.662528
NVIDIA A100-PCIE-40GB;50176;4;0.673792
NVIDIA A100-PCIE-40GB;51200;4;0.692224
NVIDIA A100-PCIE-40GB;52224;4;0.704512
NVIDIA A100-PCIE-40GB;53248;4;0.70656
NVIDIA A100-PCIE-40GB;54272;4;0.7168
NVIDIA A100-PCIE-40GB;55296;4;0.720896
NVIDIA A100-PCIE-40GB;56320;4;0.789504
NVIDIA A100-PCIE-40GB;57344;4;0.794624
NVIDIA A100-PCIE-40GB;58368;4;0.802816
