GPU;Threads;ElemSize;Time
NVIDIA A100-PCIE-40GB;1;8;0.083968
NVIDIA A100-PCIE-40GB;2;8;0.080896
NVIDIA A100-PCIE-40GB;4;8;0.08704
NVIDIA A100-PCIE-40GB;8;8;0.095232
NVIDIA A100-PCIE-40GB;16;8;0.11264
NVIDIA A100-PCIE-40GB;32;8;0.111616
NVIDIA A100-PCIE-40GB;64;8;0.115712
NVIDIA A100-PCIE-40GB;128;8;0.115712
NVIDIA A100-PCIE-40GB;256;8;0.12288
NVIDIA A100-PCIE-40GB;512;8;0.154624
NVIDIA A100-PCIE-40GB;1024;8;0.157696
NVIDIA A100-PCIE-40GB;2048;8;0.159744
NVIDIA A100-PCIE-40GB;3072;8;0.159744
NVIDIA A100-PCIE-40GB;4096;8;0.164864
NVIDIA A100-PCIE-40GB;5120;8;0.167936
NVIDIA A100-PCIE-40GB;6144;8;0.166912
NVIDIA A100-PCIE-40GB;7168;8;0.173056
NVIDIA A100-PCIE-40GB;8192;8;0.176128
NVIDIA A100-PCIE-40GB;9216;8;0.181248
NVIDIA A100-PCIE-40GB;10240;8;0.18944
NVIDIA A100-PCIE-40GB;11264;8;0.19968
NVIDIA A100-PCIE-40GB;12288;8;0.206848
NVIDIA A100-PCIE-40GB;13312;8;0.22016
NVIDIA A100-PCIE-40GB;14336;8;0.226304
NVIDIA A100-PCIE-40GB;15360;8;0.233472
NVIDIA A100-PCIE-40GB;16384;8;0.244736
NVIDIA A100-PCIE-40GB;17408;8;0.260096
NVIDIA A100-PCIE-40GB;18432;8;0.273408
NVIDIA A100-PCIE-40GB;19456;8;0.283648
NVIDIA A100-PCIE-40GB;20480;8;0.29184
NVIDIA A100-PCIE-40GB;21504;8;0.308224
NVIDIA A100-PCIE-40GB;22528;8;0.324608
NVIDIA A100-PCIE-40GB;23552;8;0.342016
NVIDIA A100-PCIE-40GB;24576;8;0.34816
NVIDIA A100-PCIE-40GB;25600;8;0.365568
NVIDIA A100-PCIE-40GB;26624;8;0.386048
NVIDIA A100-PCIE-40GB;27648;8;0.39424
NVIDIA A100-PCIE-40GB;28672;8;0.405504
NVIDIA A100-PCIE-40GB;29696;8;0.406528
NVIDIA A100-PCIE-40GB;30720;8;0.415744
NVIDIA A100-PCIE-40GB;31744;8;0.429056
NVIDIA A100-PCIE-40GB;32768;8;0.442368
NVIDIA A100-PCIE-40GB;33792;8;0.453632
NVIDIA A100-PCIE-40GB;34816;8;0.466944
NVIDIA A100-PCIE-40GB;35840;8;0.490496
NVIDIA A100-PCIE-40GB;36864;8;0.510976
NVIDIA A100-PCIE-40GB;37888;8;0.52736
NVIDIA A100-PCIE-40GB;38912;8;0.540672
NVIDIA A100-PCIE-40GB;39936;8;0.538624
NVIDIA A100-PCIE-40GB;40960;8;0.545792
NVIDIA A100-PCIE-40GB;41984;8;0.545792
NVIDIA A100-PCIE-40GB;43008;8;0.567296
NVIDIA A100-PCIE-40GB;44032;8;0.581632
NVIDIA A100-PCIE-40GB;45056;8;0.571392
NVIDIA A100-PCIE-40GB;46080;8;0.5888
NVIDIA A100-PCIE-40GB;47104;8;0.61952
NVIDIA A100-PCIE-40GB;48128;8;0.61952
NVIDIA A100-PCIE-40GB;49152;8;0.641024
NVIDIA A100-PCIE-40GB;50176;8;0.636928
NVIDIA A100-PCIE-40GB;51200;8;0.636928
NVIDIA A100-PCIE-40GB;52224;8;0.653312
NVIDIA A100-PCIE-40GB;53248;8;0.661504
NVIDIA A100-PCIE-40GB;54272;8;0.657408
NVIDIA A100-PCIE-40GB;55296;8;0.652288
NVIDIA A100-PCIE-40GB;56320;8;0.68096
NVIDIA A100-PCIE-40GB;57344;8;0.677888
NVIDIA A100-PCIE-40GB;58368;8;0.687104
NVIDIA A100-PCIE-40GB;59392;8;0.709632
NVIDIA A100-PCIE-40GB;60416;8;0.729088
NVIDIA A100-PCIE-40GB;61440;8;0.746496
NVIDIA A100-PCIE-40GB;62464;8;0.775168
NVIDIA A100-PCIE-40GB;63488;8;0.766976
NVIDIA A100-PCIE-40GB;64512;8;0.771072
NVIDIA A100-PCIE-40GB;65536;8;0.77824
NVIDIA A100-PCIE-40GB;66560;8;0.789504
NVIDIA A100-PCIE-40GB;67584;8;0.802816
NVIDIA A100-PCIE-40GB;68608;8;0.802816
NVIDIA A100-PCIE-40GB;69632;8;0.806912
NVIDIA A100-PCIE-40GB;70656;8;0.826368
NVIDIA A100-PCIE-40GB;71680;8;0.818176
NVIDIA A100-PCIE-40GB;72704;8;0.830464
NVIDIA A100-PCIE-40GB;73728;8;0.862208
NVIDIA A100-PCIE-40GB;74752;8;0.84992
NVIDIA A100-PCIE-40GB;75776;8;0.856064
NVIDIA A100-PCIE-40GB;76800;8;0.8704
NVIDIA A100-PCIE-40GB;77824;8;0.869376
NVIDIA A100-PCIE-40GB;78848;8;0.922624
NVIDIA A100-PCIE-40GB;79872;8;0.894976
NVIDIA A100-PCIE-40GB;80896;8;0.90624
NVIDIA A100-PCIE-40GB;81920;8;0.90624
NVIDIA A100-PCIE-40GB;82944;8;0.917504
NVIDIA A100-PCIE-40GB;83968;8;0.927744
NVIDIA A100-PCIE-40GB;84992;8;0.941056
NVIDIA A100-PCIE-40GB;86016;8;0.948224
NVIDIA A100-PCIE-40GB;87040;8;0.975872
NVIDIA A100-PCIE-40GB;88064;8;0.984064
NVIDIA A100-PCIE-40GB;89088;8;1.01683
NVIDIA A100-PCIE-40GB;90112;8;1.02502
NVIDIA A100-PCIE-40GB;91136;8;1.04755
NVIDIA A100-PCIE-40GB;92160;8;1.04243
NVIDIA A100-PCIE-40GB;93184;8;1.03526
NVIDIA A100-PCIE-40GB;94208;8;1.0281
NVIDIA A100-PCIE-40GB;95232;8;1.0455
NVIDIA A100-PCIE-40GB;96256;8;1.04755
NVIDIA A100-PCIE-40GB;97280;8;1.0537
NVIDIA A100-PCIE-40GB;98304;8;1.05779
NVIDIA A100-PCIE-40GB;99328;8;1.06189
